_experiment
ParticipantId,SubjectId,OpponentId,Phase,RoundNumber,SubjectChoice,OpponentChoice,SubjectRoundScore,OpponentRoundScore,SubjectTotalScore,OpponentTotalScore,SubjectSelfRace,SubjectSelfGender
20230427150125172,Arab_Female,Arab_Female,5,1,1,0,20,26,90,90,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,2,0,1,5,-1,95,89,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,3,1,0,4,4,94,94,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,4,0,1,9,3,99,93,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,5,1,0,8,8,98,98,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,6,0,1,13,7,103,97,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,7,0,0,12,12,102,102,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,8,1,0,15,15,105,105,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,9,0,1,20,14,110,104,Asian,Female
20230427150125172,Arab_Female,Arab_Female,5,10,1,0,19,19,109,109,Asian,Female
20230427151639877,White_Male,White_Female,1,1,1,0,0,0,0,0,Arab,Male
20230427151639877,White_Male,White_Female,1,2,1,1,5,-1,5,-1,Arab,Male
20230427151639877,White_Male,White_Female,1,3,0,1,5,-1,5,-1,Arab,Male
20230427151639877,White_Male,White_Female,1,4,0,0,4,4,4,4,Arab,Male
20230427151639877,White_Male,White_Female,1,5,1,0,7,7,7,7,Arab,Male
20230427151639877,White_Male,White_Female,1,6,0,1,12,6,12,6,Arab,Male
20230427151639877,White_Male,White_Female,1,7,1,0,11,11,11,11,Arab,Male
20230427151639877,White_Male,White_Female,1,8,1,1,16,10,16,10,Arab,Male
20230427151639877,White_Male,White_Female,1,9,1,1,16,10,16,10,Arab,Male
20230427151639877,White_Male,White_Female,1,10,0,1,16,10,16,10,Arab,Male
20230427151639877,White_Male,White_Female,2,1,1,0,15,15,15,15,Arab,Male
20230427151639877,White_Male,White_Female,2,2,1,1,5,-1,20,14,Arab,Male
20230427151639877,White_Male,White_Female,2,3,1,1,5,-1,20,14,Arab,Male
20230427151639877,White_Male,White_Female,2,4,1,1,5,-1,20,14,Arab,Male
20230427151639877,White_Male,White_Female,2,5,0,1,5,-1,20,14,Arab,Male
20230427151639877,White_Male,White_Female,2,6,1,0,4,4,19,19,Arab,Male
20230427151639877,White_Male,White_Female,2,7,0,1,9,3,24,18,Arab,Male
20230427151639877,White_Male,White_Female,2,8,1,0,8,8,23,23,Arab,Male
20230427151639877,White_Male,White_Female,2,9,0,1,13,7,28,22,Arab,Male
20230427151639877,White_Male,White_Female,2,10,1,0,12,12,27,27,Arab,Male
20230427151639877,White_Male,White_Female,3,1,1,1,17,11,32,26,Arab,Male
20230427151639877,White_Male,White_Female,3,2,0,1,0,0,32,26,Arab,Male
